Timestamp,Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude
2025-04-26 23:58:30.590023,0.000000,-0.000538,0.000523,0.001160,0.001382,-0.000752,0.000288,0.001001,0.001285
2025-04-26 23:58:30.593375,0.010000,-0.000705,-0.000040,0.000043,0.000708,-0.000441,-0.000019,-0.000695,0.000824
2025-04-26 23:58:30.614256,0.020000,-0.000505,-0.000723,0.000292,0.000929,-0.000523,-0.000476,0.000348,0.000788
2025-04-26 23:58:30.614256,0.030000,-0.000505,-0.000723,0.000292,0.000929,-0.000523,-0.000476,0.000348,0.000788
2025-04-26 23:58:30.643087,0.040000,0.000241,-0.000021,-0.000167,0.000294,0.000323,-0.000024,0.000542,0.000632
2025-04-26 23:58:30.643087,0.050000,0.000241,-0.000021,-0.000167,0.000294,0.000323,-0.000024,0.000542,0.000632
2025-04-26 23:58:30.643087,0.060000,0.000241,-0.000021,-0.000167,0.000294,0.000323,-0.000024,0.000542,0.000632
2025-04-26 23:58:30.658875,0.070000,0.000394,0.000738,0.000776,0.001141,0.000662,0.000275,0.000675,0.000985
2025-04-26 23:58:30.690730,0.080000,-0.000680,0.000379,0.001144,0.001383,-0.000793,0.000150,0.000744,0.001098
2025-04-26 23:58:30.690730,0.090000,-0.000680,0.000379,0.001144,0.001383,-0.000793,0.000150,0.000744,0.001098
2025-04-26 23:58:30.690730,0.100000,-0.000680,0.000379,0.001144,0.001383,-0.000793,0.000150,0.000744,0.001098
2025-04-26 23:58:30.706715,0.110000,0.000002,0.000880,-0.000190,0.000900,-0.000003,0.000960,-0.000635,0.001151
2025-04-26 23:58:30.706715,0.120000,0.000002,0.000880,-0.000190,0.000900,-0.000003,0.000960,-0.000635,0.001151
2025-04-26 23:58:30.738741,0.130000,0.000187,0.000663,-0.000810,0.001063,0.000178,0.000556,-0.001142,0.001283
2025-04-26 23:58:30.738741,0.140000,0.000187,0.000663,-0.000810,0.001063,0.000178,0.000556,-0.001142,0.001283
2025-04-26 23:58:30.738741,0.150000,0.000187,0.000663,-0.000810,0.001063,0.000178,0.000556,-0.001142,0.001283
2025-04-26 23:58:30.754731,0.160000,-0.000683,0.000186,-0.000635,0.000951,-0.000430,0.000733,-0.000098,0.000856
2025-04-26 23:58:30.754731,0.170000,-0.000683,0.000186,-0.000635,0.000951,-0.000430,0.000733,-0.000098,0.000856
2025-04-26 23:58:30.787023,0.180000,0.000301,0.000416,0.000027,0.000514,-0.000057,0.000686,0.000647,0.000945
2025-04-26 23:58:30.787023,0.190000,0.000301,0.000416,0.000027,0.000514,-0.000057,0.000686,0.000647,0.000945
2025-04-26 23:58:30.787023,0.200000,0.000301,0.000416,0.000027,0.000514,-0.000057,0.000686,0.000647,0.000945
2025-04-26 23:58:30.802871,0.210000,0.000275,-0.000540,0.001081,0.001239,0.000137,-0.000033,0.000852,0.000864
2025-04-26 23:58:30.802871,0.220000,0.000275,-0.000540,0.001081,0.001239,0.000137,-0.000033,0.000852,0.000864
2025-04-26 23:58:30.826663,0.230000,0.000066,0.000655,-0.000485,0.000818,-0.000294,0.000462,-0.000565,0.000787
2025-04-26 23:58:30.831068,0.240000,-0.000653,-0.000806,0.000223,0.001061,-0.000522,-0.001008,0.000651,0.001309
2025-04-26 23:58:30.832115,0.250000,-0.000559,-0.001026,0.000602,0.001315,-0.000350,-0.000916,0.000885,0.001321
2025-04-26 23:58:30.843799,0.260000,0.000284,-0.000056,0.000249,0.000382,0.000357,-0.000009,0.000876,0.000946
2025-04-26 23:58:30.859884,0.270000,0.000614,0.000361,0.000740,0.001027,0.000746,-0.000164,0.000456,0.000890
2025-04-26 23:58:30.891329,0.280000,-0.000759,0.000250,0.001021,0.001296,-0.000779,0.000061,0.000450,0.000902
2025-04-26 23:58:30.891329,0.290000,-0.000759,0.000250,0.001021,0.001296,-0.000779,0.000061,0.000450,0.000902
2025-04-26 23:58:30.891329,0.300000,-0.000759,0.000250,0.001021,0.001296,-0.000779,0.000061,0.000450,0.000902
2025-04-26 23:58:30.891329,0.310000,-0.000759,0.000250,0.001021,0.001296,-0.000779,0.000061,0.000450,0.000902
2025-04-26 23:58:30.907196,0.320000,-0.000002,0.000944,-0.000375,0.001015,-0.000009,0.000876,-0.000720,0.001134
