Timestamp,Expected_Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude,Accel3_X,Accel3_Y,Accel3_Z,Accel3_Magnitude,Accel4_X,Accel4_Y,Accel4_Z,Accel4_Magnitude
2025-04-22 18:41:48.030043,5.000000,0.008416,-0.405878,-0.564926,0.695665,0.007979,-0.409800,-0.503152,0.648970,0.008050,-0.410677,-0.531304,0.671568,0.008066,-0.409276,-0.565612,0.698203
2025-04-22 18:41:48.046122,5.016079,0.001026,0.467700,-0.253361,0.531917,0.000540,0.469617,-0.189504,0.506411,0.000634,0.466079,-0.218604,0.514799,0.000677,0.464237,-0.254069,0.529214
2025-04-22 18:41:48.061820,5.031777,-0.005607,-0.594776,0.116045,0.606017,-0.006137,-0.599961,0.182371,0.627097,-0.006023,-0.600263,0.152145,0.619274,-0.005956,-0.598160,0.115309,0.609202
2025-04-22 18:41:48.064745,5.034702,-0.024252,-0.500358,-0.354441,0.613657,-0.024906,-0.504912,-0.291260,0.583428,-0.024736,-0.505501,-0.320052,0.598813,-0.024599,-0.503749,-0.355142,0.616841
2025-04-22 18:41:48.077927,5.047884,-0.153203,0.501253,0.277853,0.593235,-0.154719,0.503394,0.345261,0.629721,-0.154156,0.499754,0.314542,0.610291,-0.153540,0.497788,0.277106,0.590047
2025-04-22 18:41:48.093712,5.063669,-0.201296,-0.394578,0.213964,0.491928,-0.203135,-0.398425,0.280944,0.528144,-0.202425,-0.399337,0.250420,0.512987,-0.201630,-0.397977,0.213221,0.494473
2025-04-22 18:41:48.109619,5.079576,0.013848,0.518011,-0.054382,0.521042,0.013448,0.520264,0.010805,0.520550,0.013502,0.516573,-0.018902,0.517095,0.013498,0.514545,-0.055105,0.517663
2025-04-22 18:41:48.125752,5.095709,0.211349,-0.575949,-0.348904,0.705776,0.212269,-0.581008,-0.285686,0.681355,0.211721,-0.581367,-0.314495,0.694061,0.210984,-0.579334,-0.349605,0.708778
2025-04-22 18:41:48.126102,5.096059,0.212601,-0.567741,-0.290512,0.672255,0.213529,-0.572745,-0.226903,0.652010,0.212978,-0.573129,-0.255890,0.662810,0.212236,-0.571127,-0.291217,0.675305
2025-04-22 18:41:48.141607,5.111564,0.136760,0.433414,-0.594922,0.748654,0.137181,0.435102,-0.533348,0.701849,0.136861,0.431668,-0.561408,0.721282,0.136401,0.429954,-0.595604,0.747135
2025-04-22 18:41:48.157432,5.127389,0.000033,-0.397246,-0.609470,0.727501,-0.000459,-0.401111,-0.547993,0.679107,-0.000363,-0.402014,-0.576009,0.702425,-0.000316,-0.400644,-0.610151,0.729932
2025-04-22 18:41:48.173516,5.143473,0.005255,0.536839,-0.407659,0.674099,0.004798,0.539218,-0.344834,0.640070,0.004878,0.535469,-0.373464,0.652860,0.004906,0.533371,-0.408356,0.671762
2025-04-22 18:41:48.189630,5.159587,-0.018705,-0.510263,-0.088714,0.518255,-0.019323,-0.514883,-0.023757,0.515793,-0.019169,-0.515442,-0.053359,0.518551,-0.019053,-0.513653,-0.089435,0.521729
2025-04-22 18:41:48.205494,5.175451,-0.170926,0.358103,0.261904,0.475444,-0.172562,0.359287,0.329204,0.516953,-0.171944,0.356083,0.298535,0.495462,-0.171263,0.354649,0.261157,0.472557
2025-04-22 18:41:48.221284,5.191241,-0.187655,-0.400903,0.442375,0.625806,-0.189402,-0.404792,0.510882,0.678771,-0.188734,-0.405684,0.479662,0.655954,-0.187990,-0.404301,0.441615,0.627553
2025-04-22 18:41:48.237452,5.207409,0.051167,0.513057,0.390473,0.646772,0.051016,0.515277,0.458633,0.691706,0.050957,0.511601,0.427572,0.668692,0.050814,0.509591,0.389717,0.643541
