Timestamp,Expected_Time,LVDT1_Voltage,LVDT1_Displacement,LVDT2_Voltage,LVDT2_Displacement
2025-04-22 13:07:48.108451,5.206679,0.252937,5.023339,0.173250,3.440745
2025-04-22 13:07:48.904730,6.002958,0.222750,4.423815,0.078187,1.552804
2025-04-22 13:07:49.110819,6.209047,0.203063,4.032821,0.043125,0.856462
2025-04-22 13:07:49.300640,6.398868,0.185438,3.682789,0.015375,0.305347
2025-04-22 13:07:49.905465,7.003693,0.114937,2.282659,-0.076688,-1.523014
2025-04-22 13:07:50.303615,7.401843,0.057188,1.135744,-0.135000,-2.681100
2025-04-22 13:07:50.701579,7.799807,-0.008250,-0.163845,-0.189000,-3.753540
2025-04-22 13:07:51.305092,8.403320,-0.097875,-1.943798,-0.230625,-4.580213
2025-04-22 13:07:51.511989,8.610217,-0.118688,-2.357134,-0.254437,-5.053129
2025-04-22 13:07:51.702993,8.801221,-0.140250,-2.785365,-0.258562,-5.135051
2025-04-22 13:07:51.909689,9.007917,-0.176437,-3.504049,-0.248812,-4.941416
2025-04-22 13:07:52.101476,9.199704,-0.198000,-3.932280,-0.252188,-5.008444
2025-04-22 13:07:52.299904,9.398132,-0.229313,-4.554146,-0.250500,-4.974930
2025-04-22 13:07:52.502683,9.600911,-0.216000,-4.289760,-0.237563,-4.717991
2025-04-22 13:07:52.706273,9.804501,-0.243562,-4.837151,-0.217312,-4.315826
2025-04-22 13:07:52.901755,9.999983,-0.251437,-4.993549,-0.205125,-4.073783
2025-04-22 13:07:53.104334,10.202562,-0.251250,-4.989825,-0.185625,-3.686513
2025-04-22 13:07:53.502128,10.600356,-0.248625,-4.937692,-0.137437,-2.729509
2025-04-22 13:07:53.709558,10.807786,-0.236813,-4.703096,-0.108938,-2.163499
2025-04-22 13:07:53.900628,10.998856,-0.221062,-4.390301,-0.086250,-1.712925
2025-04-22 13:07:54.107955,11.206183,-0.202687,-4.025374,-0.037875,-0.752197
2025-04-22 13:07:54.505810,11.604038,-0.162000,-3.217320,0.009938,0.197359
2025-04-22 13:07:54.903275,12.001503,-0.109500,-2.174670,0.074063,1.470881
2025-04-22 13:07:55.109610,12.207838,-0.082125,-1.631003,0.104438,2.074129
2025-04-22 13:07:55.306986,12.405214,-0.049688,-0.986794,0.128812,2.558216
2025-04-22 13:07:55.505355,12.603583,-0.023813,-0.472916,0.161625,3.209872
2025-04-22 13:07:55.712357,12.810585,0.011250,0.223425,0.178687,3.548734
2025-04-22 13:07:55.903423,13.001651,0.036750,0.729855,0.215625,4.282312
2025-04-22 13:07:56.303861,13.402089,0.103875,2.062957,0.232125,4.610003
2025-04-22 13:07:56.702079,13.800307,0.150000,2.979000,0.244500,4.855770
2025-04-22 13:07:56.903739,14.001967,0.169687,3.369994,0.245438,4.874389
2025-04-22 13:07:57.102741,14.200969,0.201000,3.991860,0.251437,4.993549
2025-04-22 13:07:57.300921,14.399149,0.221438,4.397749,0.237375,4.714268
2025-04-22 13:07:57.508305,14.606533,0.238687,4.740334,0.230813,4.583936
2025-04-22 13:07:57.701966,14.800194,0.234937,4.665859,0.214312,4.256246
2025-04-22 13:07:57.901381,14.999609,0.244688,4.859494,0.198000,3.932280
2025-04-22 13:07:58.100066,15.198294,0.247500,4.915350,0.189938,3.772159
