Timestamp,Expected_Time,LVDT1_Voltage,LVDT1_Displacement,LVDT2_Voltage,LVDT2_Displacement
2025-04-22 10:30:47.722217,0.400000,0.013500,0.268110,0.194625,3.865252
2025-04-22 10:30:47.922375,5.200000,0.035812,0.711236,0.203437,4.040269
2025-04-22 10:30:48.128476,9.000000,0.069562,1.381511,0.210938,4.189219
2025-04-22 10:30:48.322470,15.000000,0.108000,2.144880,0.231187,4.591384
2025-04-22 10:30:48.522556,21.600000,0.130500,2.591730,0.253688,5.038234
2025-04-22 10:30:48.736259,28.800000,0.152250,3.023685,0.249000,4.945140
2025-04-22 10:30:48.926687,33.800000,0.185438,3.682789,0.254250,5.049405
2025-04-22 10:30:49.122249,39.600000,0.197063,3.913661,0.252563,5.015891
2025-04-22 10:30:49.324955,45.600000,0.225750,4.483395,0.244500,4.855770
2025-04-22 10:30:49.530016,53.200000,0.233250,4.632345,0.227813,4.524356
2025-04-22 10:30:49.722106,59.400000,0.236813,4.703096,0.222562,4.420091
2025-04-22 10:30:49.927938,65.800000,0.249188,4.948864,0.206063,4.092401
2025-04-22 10:30:50.122129,71.600000,0.254063,5.045681,0.177187,3.518944
2025-04-22 10:30:50.322148,78.000000,0.239250,4.751505,0.161438,3.206149
2025-04-22 10:30:50.532351,82.200000,0.243375,4.833427,0.127500,2.532150
2025-04-22 10:30:50.724065,87.400000,0.230437,4.576489,0.112125,2.226802
2025-04-22 10:30:50.922498,94.400000,0.221062,4.390301,0.075750,1.504395
2025-04-22 10:30:51.328060,103.400000,0.183188,3.638104,0.015000,0.297900
2025-04-22 10:30:51.522099,110.400000,0.160312,3.183806,-0.009187,-0.182464
2025-04-22 10:30:51.726101,117.800000,0.135000,2.681100,-0.049125,-0.975623
2025-04-22 10:30:51.922357,125.000000,0.115312,2.290106,-0.075750,-1.504395
2025-04-22 10:30:52.129571,131.600000,0.086438,1.716649,-0.113250,-2.249145
2025-04-22 10:30:52.322455,137.200000,0.050812,1.009136,-0.138187,-2.744404
2025-04-22 10:30:52.522290,145.400000,0.009000,0.178740,-0.170250,-3.381165
2025-04-22 10:30:52.722408,152.000000,-0.015375,-0.305347,-0.179063,-3.556181
2025-04-22 10:30:52.927073,159.000000,-0.045562,-0.904871,-0.202875,-4.029097
2025-04-22 10:30:53.122257,165.000000,-0.077813,-1.545356,-0.223688,-4.442434
2025-04-22 10:30:53.325904,172.200000,-0.103500,-2.055510,-0.223688,-4.442434
2025-04-22 10:30:53.532502,177.800000,-0.135375,-2.688547,-0.242812,-4.822256
2025-04-22 10:30:53.723391,184.200000,-0.152812,-3.034856,-0.250875,-4.982378
2025-04-22 10:30:53.930090,191.200000,-0.183188,-3.638104,-0.246562,-4.896731
2025-04-22 10:30:54.322475,204.000000,-0.212250,-4.215285,-0.241125,-4.788742
2025-04-22 10:30:54.522127,210.200000,-0.228187,-4.531804,-0.231187,-4.591384
2025-04-22 10:30:54.728370,215.600000,-0.244312,-4.852046,-0.216188,-4.293484
2025-04-22 10:30:54.922079,222.200000,-0.247875,-4.922797,-0.214500,-4.259970
2025-04-22 10:30:55.127037,228.600000,-0.247312,-4.911626,-0.179625,-3.567353
2025-04-22 10:30:55.333220,234.400000,-0.261562,-5.194631,-0.160125,-3.180082
2025-04-22 10:30:55.524076,240.200000,-0.239063,-4.747781,-0.128438,-2.550769
2025-04-22 10:30:55.722197,247.600000,-0.238687,-4.740334,-0.105188,-2.089024
2025-04-22 10:30:55.924346,252.800000,-0.219188,-4.353064,-0.075188,-1.493224
2025-04-22 10:30:56.129826,257.400000,-0.206063,-4.092401,-0.048188,-0.957004
2025-04-22 10:30:56.335573,261.600000,-0.178313,-3.541286,-0.008250,-0.163845
2025-04-22 10:30:56.526098,266.400000,-0.168563,-3.347651,0.016875,0.335138
2025-04-22 10:30:56.733958,269.800000,-0.140250,-2.785365,0.044250,0.878805
2025-04-22 10:30:56.924053,274.200000,-0.107250,-2.129985,0.083062,1.649621
2025-04-22 10:30:57.133831,279.600000,-0.079312,-1.575146,0.107250,2.129985
2025-04-22 10:30:57.323968,284.000000,-0.047438,-0.942109,0.136500,2.710890
2025-04-22 10:30:57.530923,290.800000,-0.013312,-0.264386,0.158438,3.146569
2025-04-22 10:30:57.724930,297.600000,0.007875,0.156397,0.182625,3.626933
2025-04-22 10:30:57.928588,305.400000,0.041625,0.826673,0.200250,3.976965
2025-04-22 10:30:58.134811,310.600000,0.081750,1.623555,0.222375,4.416367
2025-04-22 10:30:58.325264,314.400000,0.104438,2.074129,0.236250,4.691925
2025-04-22 10:30:58.531394,319.400000,0.133875,2.658757,0.248250,4.930245
2025-04-22 10:30:58.722432,325.400000,0.159938,3.176359,0.248625,4.937692
2025-04-22 10:30:58.926850,329.200000,0.179437,3.563629,0.242063,4.807361
2025-04-22 10:30:59.122261,336.200000,0.204000,4.051440,0.264000,5.243040
2025-04-22 10:30:59.328145,340.200000,0.211875,4.207838,0.247125,4.907903
2025-04-22 10:30:59.536376,346.200000,0.232875,4.624897,0.232125,4.610003
2025-04-22 10:30:59.728421,351.200000,0.258000,5.123880,0.217500,4.319550
2025-04-22 10:30:59.922346,358.000000,0.241875,4.803637,0.205313,4.077506
2025-04-22 10:31:00.124328,363.800000,0.250875,4.982378,0.173813,3.451916
2025-04-22 10:31:00.332420,369.800000,0.253500,5.034510,0.156750,3.113055
2025-04-22 10:31:00.522107,374.400000,0.255563,5.075471,0.129562,2.573111
2025-04-22 10:31:00.732792,381.800000,0.241125,4.788742,0.097500,1.936350
2025-04-22 10:31:00.923225,386.400000,0.225750,4.483395,0.077625,1.541632
2025-04-22 10:31:01.129555,391.000000,0.211125,4.192943,0.039938,0.793159
2025-04-22 10:31:01.336386,395.800000,0.178125,3.537562,0.018562,0.368651
2025-04-22 10:31:01.528400,400.400000,0.166687,3.310414,-0.019688,-0.390994
2025-04-22 10:31:01.722482,405.600000,0.139125,2.763022,-0.048938,-0.971899
