Timestamp,Time,LVDT1_Voltage,LVDT1_Displacement,LVDT2_Voltage,LVDT2_Displacement
2025-04-26 23:55:19.516566,0.000000,0.155401,3.276915,0.162101,3.624837
2025-04-26 23:55:19.542654,0.050000,0.162418,3.416274,0.161195,3.605034
2025-04-26 23:55:19.593292,0.100000,0.161062,3.389340,0.164351,3.674024
2025-04-26 23:55:19.640039,0.150000,0.175296,3.672031,0.177495,3.961369
2025-04-26 23:55:19.688069,0.200000,0.169080,3.548591,0.178343,3.979896
2025-04-26 23:55:19.736020,0.250000,0.181512,3.795483,0.175773,3.923713
2025-04-26 23:55:19.777177,0.300000,0.190556,3.975091,0.186261,4.152981
2025-04-26 23:55:19.842008,0.350000,0.186928,3.903043,0.189501,4.223817
2025-04-26 23:55:19.889721,0.400000,0.202779,4.217853,0.197970,4.408934
2025-04-26 23:55:19.937783,0.450000,0.203324,4.228669,0.211143,4.696911
2025-04-26 23:55:19.985778,0.500000,0.212354,4.408014,0.201580,4.487847
2025-04-26 23:55:20.033780,0.550000,0.208902,4.339443,0.207098,4.608484
2025-04-26 23:55:20.097484,0.600000,0.226392,4.686794,0.213975,4.758820
2025-04-26 23:55:20.145981,0.650000,0.225058,4.660300,0.229342,5.094736
2025-04-26 23:55:20.193886,0.700000,0.214339,4.447421,0.217631,4.838737
2025-04-26 23:55:20.241356,0.750000,0.231857,4.795334,0.230362,5.117038
2025-04-26 23:55:20.289380,0.800000,0.235911,4.875851,0.229668,5.101852
2025-04-26 23:55:20.342216,0.850000,0.226135,4.681695,0.235210,5.223015
2025-04-26 23:55:20.421521,0.900000,0.237339,4.904205,0.238611,5.297351
2025-04-26 23:55:20.469034,0.950000,0.233938,4.836670,0.240266,5.333530
2025-04-26 23:55:20.526933,1.000000,0.241120,4.979296,0.248569,5.515031
2025-04-26 23:55:20.558186,1.050000,0.246607,5.088275,0.239897,5.325467
2025-04-26 23:55:20.562136,1.100000,0.239710,4.951295,0.234857,5.215282
2025-04-26 23:55:20.641248,1.150000,0.245293,5.062181,0.246839,5.477228
2025-04-26 23:55:20.688887,1.200000,0.239209,4.941342,0.240603,5.340904
2025-04-26 23:55:20.737007,1.250000,0.253079,5.216810,0.241045,5.350562
2025-04-26 23:55:20.784627,1.300000,0.243115,5.018927,0.248485,5.513210
2025-04-26 23:55:20.826487,1.350000,0.247201,5.100076,0.254125,5.636487
2025-04-26 23:55:20.890180,1.400000,0.240603,4.969035,0.252310,5.596816
2025-04-26 23:55:20.938035,1.450000,0.251700,5.189428,0.255065,5.657047
2025-04-26 23:55:20.986038,1.500000,0.252743,5.210128,0.247986,5.502297
2025-04-26 23:55:21.034051,1.550000,0.242815,5.012955,0.239707,5.321311
2025-04-26 23:55:21.093154,1.600000,0.248919,5.134184,0.258010,5.721417
2025-04-26 23:55:21.141047,1.650000,0.253681,5.228767,0.253842,5.630295
2025-04-26 23:55:21.188508,1.700000,0.245099,5.058329,0.254876,5.652911
2025-04-26 23:55:21.236811,1.750000,0.248625,5.128348,0.251761,5.584814
2025-04-26 23:55:21.284193,1.800000,0.239183,4.940832,0.234603,5.209747
2025-04-26 23:55:21.341949,1.850000,0.235172,4.861178,0.249130,5.527300
2025-04-26 23:55:21.558571,1.900000,0.228365,4.725984,0.222226,4.939187
2025-04-26 23:55:21.592601,1.950000,0.238159,4.920489,0.232710,5.168361
2025-04-26 23:55:21.609817,2.000000,0.231815,4.794504,0.220898,4.910158
2025-04-26 23:55:21.642107,2.050000,0.219946,4.558786,0.220656,4.904863
2025-04-26 23:55:21.673972,2.100000,0.222217,4.603882,0.219765,4.885383
2025-04-26 23:55:21.706307,2.150000,0.214319,4.447034,0.212949,4.736379
2025-04-26 23:55:21.738197,2.200000,0.211232,4.385717,0.211021,4.694229
2025-04-26 23:55:21.770416,2.250000,0.218380,4.527684,0.210015,4.672256
2025-04-26 23:55:21.792331,2.300000,0.204869,4.259354,0.215970,4.802422
2025-04-26 23:55:21.841507,2.350000,0.216904,4.498369,0.202416,4.506129
2025-04-26 23:55:21.889480,2.400000,0.206420,4.290150,0.211007,4.693922
2025-04-26 23:55:21.937786,2.450000,0.201932,4.201033,0.204442,4.550414
2025-04-26 23:55:21.985780,2.500000,0.201791,4.198233,0.203836,4.537171
2025-04-26 23:55:22.033277,2.550000,0.182537,3.815835,0.190525,4.246194
2025-04-26 23:55:22.097478,2.600000,0.175219,3.670511,0.192619,4.291964
2025-04-26 23:55:22.145671,2.650000,0.181943,3.804047,0.187386,4.177575
2025-04-26 23:55:22.193496,2.700000,0.177440,3.714611,0.164893,3.685871
2025-04-26 23:55:22.241515,2.750000,0.171105,3.588794,0.170899,3.817160
2025-04-26 23:55:22.289508,2.800000,0.160765,3.383458,0.159122,3.559732
2025-04-26 23:55:22.322722,2.850000,0.165381,3.475134,0.158170,3.538921
2025-04-26 23:55:22.437050,2.900000,0.151288,3.195234,0.142837,3.203727
