Timestamp,Time,LVDT1_Voltage,LVDT1_Displacement,LVDT2_Voltage,LVDT2_Displacement
2025-04-26 23:57:23.938915,0.000000,-0.083945,-1.476484,-0.083876,-1.752221
2025-04-26 23:57:23.987032,0.050000,-0.092548,-1.647345,-0.097526,-2.050592
2025-04-26 23:57:24.035051,0.100000,-0.090907,-1.614764,-0.093760,-1.968269
2025-04-26 23:57:24.082931,0.150000,-0.091999,-1.636434,-0.109598,-2.314498
2025-04-26 23:57:24.142002,0.200000,-0.103326,-1.861402,-0.112100,-2.369182
2025-04-26 23:57:24.189988,0.250000,-0.118013,-2.153086,-0.128004,-2.716859
2025-04-26 23:57:24.237787,0.300000,-0.114498,-2.083280,-0.128610,-2.730086
2025-04-26 23:57:24.285798,0.350000,-0.129719,-2.385564,-0.129606,-2.751877
2025-04-26 23:57:24.342227,0.400000,-0.144860,-2.686268,-0.130010,-2.760702
2025-04-26 23:57:24.453484,0.450000,-0.157582,-2.938929,-0.148109,-3.156349
2025-04-26 23:57:24.501598,0.500000,-0.155312,-2.893839,-0.157297,-3.357184
2025-04-26 23:57:24.547503,0.550000,-0.159569,-2.978388,-0.165688,-3.540613
2025-04-26 23:57:24.575172,0.600000,-0.166814,-3.122267,-0.177279,-3.794009
2025-04-26 23:57:24.581910,0.650000,-0.158905,-2.965196,-0.162244,-3.465337
2025-04-26 23:57:24.642521,0.700000,-0.165050,-3.087225,-0.180727,-3.869374
2025-04-26 23:57:24.690234,0.750000,-0.175898,-3.302679,-0.183315,-3.925952
2025-04-26 23:57:24.738043,0.800000,-0.178986,-3.364014,-0.192639,-4.129776
2025-04-26 23:57:24.786041,0.850000,-0.197072,-3.723198,-0.184511,-3.952103
2025-04-26 23:57:24.825883,0.900000,-0.191872,-3.619927,-0.201574,-4.325088
2025-04-26 23:57:24.889754,0.950000,-0.199398,-3.769382,-0.195437,-4.190925
2025-04-26 23:57:24.937087,1.000000,-0.198037,-3.742362,-0.208688,-4.480597
2025-04-26 23:57:24.985053,1.050000,-0.205989,-3.900283,-0.216632,-4.654264
2025-04-26 23:57:25.033544,1.100000,-0.207109,-3.922521,-0.220134,-4.730809
2025-04-26 23:57:25.097469,1.150000,-0.213688,-4.053181,-0.228005,-4.902870
2025-04-26 23:57:25.142032,1.200000,-0.214303,-4.065399,-0.216102,-4.642665
2025-04-26 23:57:25.189979,1.250000,-0.216192,-4.102915,-0.219180,-4.709962
2025-04-26 23:57:25.237802,1.300000,-0.224724,-4.272355,-0.232354,-4.997939
2025-04-26 23:57:25.285838,1.350000,-0.227741,-4.332273,-0.238043,-5.122305
2025-04-26 23:57:25.373602,1.400000,-0.229231,-4.361872,-0.240556,-5.177247
2025-04-26 23:57:25.468601,1.450000,-0.236200,-4.500275,-0.245527,-5.285912
2025-04-26 23:57:25.500402,1.500000,-0.245388,-4.682755,-0.245991,-5.296037
